8.0 2.0 0.020400 0.000344 0.180765 0.000282 -0.160365 0.000062 -0.160894 0.000062 0.002242 0.001071 0.001171 0.180726 0.034530 -0.023970 -0.114541 -0.042781 1.000000 0.000000
10.0 2.0 -0.016197 0.000182 0.116752 0.000147 -0.132950 0.000036 -0.133361 0.000036 0.001610 0.000776 0.000834 0.115665 0.022099 -0.019176 -0.091633 -0.037145 1.000000 0.000000
40.0 2.0 -0.030453 0.000008 0.008184 0.000005 -0.038637 0.000002 -0.038775 0.000002 0.000204 0.000101 0.000104 0.007229 0.001381 -0.004794 -0.022908 -0.013614 1.000000 0.000000
1.0 4.0 21.675688 0.023150 22.306771 0.022346 -0.631084 0.000803 -0.694693 0.000805 0.066694 0.009319 0.057374 22.465711 2.209900 -0.099617 -0.916331 -0.119547 1.000000 0.000000
2.0 4.0 5.179918 0.004718 5.568424 0.004388 -0.404506 0.000330 -0.408106 0.000331 0.020505 0.004672 0.015833 5.616428 0.552475 -0.049808 -0.458166 -0.089519 1.000000 0.000000
4.0 4.0 1.150756 0.001274 1.393214 0.001093 -0.242457 0.000181 -0.243777 0.000181 0.006638 0.002183 0.004455 1.404107 0.138119 -0.024904 -0.229083 -0.063733 1.000000 0.000000
6.0 4.0 0.440983 0.000595 0.619927 0.000480 -0.178944 0.000115 -0.179640 0.000115 0.003529 0.001348 0.002181 0.624048 0.061386 -0.016603 -0.152722 -0.050854 1.000000 0.000000
8.0 4.0 0.205696 0.000349 0.348932 0.000272 -0.143236 0.000077 -0.143770 0.000077 0.002274 0.000940 0.001334 0.351027 0.034530 -0.012452 -0.114541 -0.042781 1.000000 0.000000
10.0 4.0 0.103795 0.000229 0.223848 0.000172 -0.120053 0.000057 -0.120466 0.000057 0.001623 0.000704 0.000919 0.224657 0.022099 -0.009962 -0.091633 -0.037145 1.000000 0.000000
40.0 4.0 -0.022585 0.000009 0.014447 0.000005 -0.037031 0.000004 -0.037168 0.000004 0.000204 0.000100 0.000104 0.014041 0.001381 -0.002490 -0.022908 -0.013614 1.000000 0.000000
1.0 8.0 43.806745 0.021136 44.327415 0.020361 -0.520670 0.000775 -0.588445 0.000777 0.109129 0.004908 0.104221 44.457612 2.209900 -0.050512 -0.916331 -0.119547 1.000000 0.000000
2.0 8.0 10.756545 0.004652 11.076230 0.004415 -0.335685 0.000237 -0.339198 0.000238 0.031076 0.002577 0.028499 11.114403 0.552475 -0.025256 -0.458166 -0.089519 1.000000 0.000000
4.0 8.0 2.565786 0.001101 2.767611 0.000999 -0.201825 0.000102 -0.203104 0.000103 0.008765 0.001302 0.007463 2.778601 0.138119 -0.012628 -0.229083 -0.063733 1.000000 0.000000
6.0 8.0 1.079641 0.000516 1.230487 0.000440 -0.150846 0.000076 -0.151504 0.000076 0.004289 0.000856 0.003433 1.234934 0.061386 -0.008419 -0.152722 -0.050854 1.000000 0.000000
8.0 8.0 0.569841 0.000304 0.692178 0.000245 -0.122337 0.000059 -0.122863 0.000059 0.002622 0.000629 0.001993 0.694650 0.034530 -0.006314 -0.114541 -0.042781 1.000000 0.000000
10.0 8.0 0.339617 0.000203 0.443301 0.000157 -0.103684 0.000047 -0.104088 0.000047 0.001807 0.000492 0.001314 0.444576 0.022099 -0.005051 -0.091633 -0.037145 1.000000 0.000000
40.0 8.0 -0.006400 0.000016 0.027944 0.000009 -0.034344 0.000008 -0.034421 0.000008 0.000206 0.000091 0.000115 0.027786 0.001381 -0.001263 -0.022908 -0.013614 1.000000 0.000000
